<frozen importlib._bootstrap>:491: RuntimeWarning: Your system is avx2 capable but pygame was not built with support for it. The performance of some of your blits could be adversely affected. Consider enabling compile time detection with environment variables like PYGAME_DETECT_AVX2=1 if you are compiling without cross compilation.
/home/masasa23/projects/personal/oink-oink/oink/network.py:72: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at /__w/pytorch/pytorch/aten/src/ATen/Context.cpp:848.)
  weight = torch.sparse_coo_tensor(self.indices, self.values, self.shape)
Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 153      |
|    ep_rew_mean     | -1.13    |
| time/              |          |
|    fps             | 490      |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 512      |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 240          |
|    ep_rew_mean          | 7.06         |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 2            |
|    time_elapsed         | 93           |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0070138583 |
|    clip_fraction        | 0.0268       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.1         |
|    explained_variance   | -0.0239      |
|    learning_rate        | 0.0003       |
|    loss                 | 0.579        |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00432     |
|    value_loss           | 2.65         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 242          |
|    ep_rew_mean          | 6.28         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 3            |
|    time_elapsed         | 185          |
|    total_timesteps      | 1536         |
| train/                  |              |
|    approx_kl            | 0.0070899893 |
|    clip_fraction        | 0.0451       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 0.102        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0906       |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00641     |
|    value_loss           | 0.32         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 279          |
|    ep_rew_mean          | 10           |
| time/                   |              |
|    fps                  | 7            |
|    iterations           | 4            |
|    time_elapsed         | 271          |
|    total_timesteps      | 2048         |
| train/                  |              |
|    approx_kl            | 0.0067754425 |
|    clip_fraction        | 0.0312       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.07        |
|    explained_variance   | 0.607        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.497        |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00594     |
|    value_loss           | 1.33         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 307        |
|    ep_rew_mean          | 12.7       |
| time/                   |            |
|    fps                  | 7          |
|    iterations           | 5          |
|    time_elapsed         | 360        |
|    total_timesteps      | 2560       |
| train/                  |            |
|    approx_kl            | 0.01650519 |
|    clip_fraction        | 0.152      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.07      |
|    explained_variance   | 0.878      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0288     |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0129    |
|    value_loss           | 0.327      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 328         |
|    ep_rew_mean          | 14.8        |
| time/                   |             |
|    fps                  | 6           |
|    iterations           | 6           |
|    time_elapsed         | 448         |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.014340233 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | 0.888       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0105      |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0104     |
|    value_loss           | 0.361       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 324        |
|    ep_rew_mean          | 13.7       |
| time/                   |            |
|    fps                  | 6          |
|    iterations           | 7          |
|    time_elapsed         | 538        |
|    total_timesteps      | 3584       |
| train/                  |            |
|    approx_kl            | 0.03155005 |
|    clip_fraction        | 0.212      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.06      |
|    explained_variance   | 0.621      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0381    |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0116    |
|    value_loss           | 0.172      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 295         |
|    ep_rew_mean          | 11.2        |
| time/                   |             |
|    fps                  | 6           |
|    iterations           | 8           |
|    time_elapsed         | 627         |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.007673093 |
|    clip_fraction        | 0.0316      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.07       |
|    explained_variance   | -0.0737     |
|    learning_rate        | 0.0003      |
|    loss                 | 4.01        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00112    |
|    value_loss           | 5.61        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 309          |
|    ep_rew_mean          | 12.7         |
| time/                   |              |
|    fps                  | 6            |
|    iterations           | 9            |
|    time_elapsed         | 716          |
|    total_timesteps      | 4608         |
| train/                  |              |
|    approx_kl            | 0.0050736936 |
|    clip_fraction        | 0.0271       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | 0.17         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.56         |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00412     |
|    value_loss           | 4.27         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 311         |
|    ep_rew_mean          | 12.5        |
| time/                   |             |
|    fps                  | 6           |
|    iterations           | 10          |
|    time_elapsed         | 806         |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.007542912 |
|    clip_fraction        | 0.0865      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | -0.258      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0358      |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00318    |
|    value_loss           | 0.257       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 292         |
|    ep_rew_mean          | 10.6        |
| time/                   |             |
|    fps                  | 6           |
|    iterations           | 11          |
|    time_elapsed         | 895         |
|    total_timesteps      | 5632        |
| train/                  |             |
|    approx_kl            | 0.012580825 |
|    clip_fraction        | 0.0566      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | -0.0437     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.68        |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00244    |
|    value_loss           | 2.69        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 290          |
|    ep_rew_mean          | 10.2         |
| time/                   |              |
|    fps                  | 6            |
|    iterations           | 12           |
|    time_elapsed         | 980          |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0068397643 |
|    clip_fraction        | 0.0604       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | -0.0051      |
|    learning_rate        | 0.0003       |
|    loss                 | 2.06         |
|    n_updates            | 110          |
|    policy_gradient_loss | 0.00388      |
|    value_loss           | 8            |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 276         |
|    ep_rew_mean          | 9.09        |
| time/                   |             |
|    fps                  | 6           |
|    iterations           | 13          |
|    time_elapsed         | 1068        |
|    total_timesteps      | 6656        |
| train/                  |             |
|    approx_kl            | 0.008769881 |
|    clip_fraction        | 0.0508      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.278       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.96        |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00376    |
|    value_loss           | 3.38        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 265         |
|    ep_rew_mean          | 7.99        |
| time/                   |             |
|    fps                  | 6           |
|    iterations           | 14          |
|    time_elapsed         | 1155        |
|    total_timesteps      | 7168        |
| train/                  |             |
|    approx_kl            | 0.009679148 |
|    clip_fraction        | 0.0787      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.00048     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.791       |
|    n_updates            | 130         |
|    policy_gradient_loss | 0.000423    |
|    value_loss           | 3.7         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 261         |
|    ep_rew_mean          | 7.64        |
| time/                   |             |
|    fps                  | 6           |
|    iterations           | 15          |
|    time_elapsed         | 1240        |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.012871802 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.344       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.09        |
|    n_updates            | 140         |
|    policy_gradient_loss | 0.0124      |
|    value_loss           | 4.03        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 252          |
|    ep_rew_mean          | 6.83         |
| time/                   |              |
|    fps                  | 6            |
|    iterations           | 16           |
|    time_elapsed         | 1325         |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0051729875 |
|    clip_fraction        | 0.0289       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.05        |
|    explained_variance   | 0.547        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.3          |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00967     |
|    value_loss           | 2.49         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 247         |
|    ep_rew_mean          | 6.39        |
| time/                   |             |
|    fps                  | 6           |
|    iterations           | 17          |
|    time_elapsed         | 1412        |
|    total_timesteps      | 8704        |
| train/                  |             |
|    approx_kl            | 0.008604187 |
|    clip_fraction        | 0.0623      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.587       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.38        |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0064     |
|    value_loss           | 2.99        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 245         |
|    ep_rew_mean          | 6.25        |
| time/                   |             |
|    fps                  | 6           |
|    iterations           | 18          |
|    time_elapsed         | 1499        |
|    total_timesteps      | 9216        |
| train/                  |             |
|    approx_kl            | 0.008537855 |
|    clip_fraction        | 0.0246      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.764       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.379       |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.00355    |
|    value_loss           | 1.28        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 255          |
|    ep_rew_mean          | 7.06         |
| time/                   |              |
|    fps                  | 6            |
|    iterations           | 19           |
|    time_elapsed         | 1585         |
|    total_timesteps      | 9728         |
| train/                  |              |
|    approx_kl            | 0.0056686653 |
|    clip_fraction        | 0.0309       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.05        |
|    explained_variance   | 0.603        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.432        |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00571     |
|    value_loss           | 0.847        |
------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 261       |
|    ep_rew_mean          | 7.69      |
| time/                   |           |
|    fps                  | 3         |
|    iterations           | 20        |
|    time_elapsed         | 3109      |
|    total_timesteps      | 10240     |
| train/                  |           |
|    approx_kl            | 0.0139036 |
|    clip_fraction        | 0.12      |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.07     |
|    explained_variance   | 0.471     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.574     |
|    n_updates            | 190       |
|    policy_gradient_loss | 0.00146   |
|    value_loss           | 1.31      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 256         |
|    ep_rew_mean          | 7.31        |
| time/                   |             |
|    fps                  | 3           |
|    iterations           | 21          |
|    time_elapsed         | 3193        |
|    total_timesteps      | 10752       |
| train/                  |             |
|    approx_kl            | 0.016508996 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.09       |
|    explained_variance   | 0.0184      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0277      |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.00937    |
|    value_loss           | 0.532       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 258         |
|    ep_rew_mean          | 7.4         |
| time/                   |             |
|    fps                  | 3           |
|    iterations           | 22          |
|    time_elapsed         | 3281        |
|    total_timesteps      | 11264       |
| train/                  |             |
|    approx_kl            | 0.014474053 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | -0.209      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.931       |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.00303    |
|    value_loss           | 2.27        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 261         |
|    ep_rew_mean          | 7.72        |
| time/                   |             |
|    fps                  | 3           |
|    iterations           | 23          |
|    time_elapsed         | 3368        |
|    total_timesteps      | 11776       |
| train/                  |             |
|    approx_kl            | 0.010127204 |
|    clip_fraction        | 0.0602      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | -0.000127   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.913       |
|    n_updates            | 220         |
|    policy_gradient_loss | 8.82e-05    |
|    value_loss           | 2.23        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 262        |
|    ep_rew_mean          | 7.92       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 24         |
|    time_elapsed         | 18089      |
|    total_timesteps      | 12288      |
| train/                  |            |
|    approx_kl            | 0.01052001 |
|    clip_fraction        | 0.0926     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.07      |
|    explained_variance   | -0.0723    |
|    learning_rate        | 0.0003     |
|    loss                 | 0.8        |
|    n_updates            | 230        |
|    policy_gradient_loss | -0.0109    |
|    value_loss           | 2.05       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 256          |
|    ep_rew_mean          | 7.35         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 25           |
|    time_elapsed         | 18171        |
|    total_timesteps      | 12800        |
| train/                  |              |
|    approx_kl            | 0.0037332617 |
|    clip_fraction        | 0.0344       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.08        |
|    explained_variance   | -0.17        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.97         |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00931     |
|    value_loss           | 2.86         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 254          |
|    ep_rew_mean          | 7.23         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 26           |
|    time_elapsed         | 18256        |
|    total_timesteps      | 13312        |
| train/                  |              |
|    approx_kl            | 0.0067010117 |
|    clip_fraction        | 0.0844       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | 0.258        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.15         |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.00466     |
|    value_loss           | 4.6          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 257          |
|    ep_rew_mean          | 7.38         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 27           |
|    time_elapsed         | 18339        |
|    total_timesteps      | 13824        |
| train/                  |              |
|    approx_kl            | 0.0078269215 |
|    clip_fraction        | 0.0586       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.07        |
|    explained_variance   | -0.152       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.693        |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00796     |
|    value_loss           | 2.15         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 262          |
|    ep_rew_mean          | 7.84         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 28           |
|    time_elapsed         | 18423        |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0065250047 |
|    clip_fraction        | 0.0529       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
